Participant,Item,EventIndex,EventTime,TimeSinceLastEvent,TotalItemTime,Results.reception.time,Controller.name,Inner.element.number,Label,Latin.Square.Group,PennElementType,PennElementName,Parameter,Value,Subject,age,group,item,itemCond,Sentence1,Sentence1Cond,Sentence2,Sentence2Cond,Sentence3,Sentence3Cond,Sentence4,Sentence4Cond,Sentence5,Sentence5Cond,Sentence6,Sentence6Cond,Sentence7,Sentence7Cond,Sentence8,Sentence8Cond,Comments
32ab20bbeccaa48346503c065698e438,6,20,1742304455530,1112.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drop,(13%2C 7),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dopped Dignitaries condemn the rebellious act.
32ab20bbeccaa48346503c065698e438,6,21,1742304456286,756.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drag,Jane calls the bluff. ,207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dropped on (10%2C 9)
32ab20bbeccaa48346503c065698e438,6,22,1742304457307,1021.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drop,(10%2C 9),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dopped Jane calls the bluff. 
32ab20bbeccaa48346503c065698e438,6,23,1742304458209,902.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drag,She loves playful giraffes.,207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dropped on (13%2C 12)
32ab20bbeccaa48346503c065698e438,6,24,1742304460161,1952.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drop,(13%2C 12),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dopped She loves playful giraffes.
32ab20bbeccaa48346503c065698e438,6,25,1742304462389,2228.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drag,She loves playful giraffes.,207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dropped on (18%2C 6)
32ab20bbeccaa48346503c065698e438,6,26,1742304463279,890.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drop,(18%2C 6),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dopped She loves playful giraffes.
32ab20bbeccaa48346503c065698e438,6,27,1742304491250,27971.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drag,She loves playful giraffes.,207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dropped on (28%2C 1)
32ab20bbeccaa48346503c065698e438,6,28,1742304492494,1244.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drop,(28%2C 1),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dopped She loves playful giraffes.
32ab20bbeccaa48346503c065698e438,6,29,1742304494002,1508.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drag,Jane calls the bluff. ,207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dropped on (30%2C 1)
